nom_commune;latitude;longitude
Attignat;46.283333;5.166667
Beaupont;46.4;5.266667
Bény;46.333333;5.283333
Béreyziat;46.366667;5.05
Bohas-Meyriat-Rignat;46.133333;5.4
Bourg-en-Bresse;46.2;5.216667
Buellas;46.2;5.133333
Certines;46.133333;5.266667
Ceyzériat;46.166667;5.316667
Chavannes-sur-Suran;46.266667;5.416667
Cize;46.2;5.433333
Coligny;46.383333;5.35
Confrançon;46.266667;5.066667
Cormoz;46.45;5.233333
Corveissiat;46.233333;5.483333
Courmangoux;46.333333;5.366667
Courtes;46.466667;5.1
Cras-sur-Reyssouze;46.3;5.166667
Curciat-Dongalon;46.466667;5.15
Curtafond;46.266667;5.083333
Dompierre-sur-Veyle;46.066667;5.2
Domsure;46.416667;5.3
Drom;46.216667;5.366667
Druillat;46.066667;5.316667
Etrez;46.333333;5.183333
Foissiat;46.366667;5.183333
Germagnat;46.316667;5.45
Grand-Corent;46.2;5.433333
Hautecourt-Romanèche;46.158333;5.416667
Jasseron;46.216667;5.333333
Jayat;46.366667;5.116667
Journans;46.15;5.333333
La Tranclière;46.116667;5.266667
Lent;46.116667;5.2
Lescheroux;46.4;5.15
Malafretaz;46.316667;5.15
Mantenay-Montlin;46.416667;5.083333
Marboz;46.333333;5.25
Marsonnas;46.333333;5.066667
Meillonnas;46.25;5.35
Montagnat;46.166667;5.283333
Montcet;46.2;5.116667
Montracol;46.183333;5.116667
Montrevel-en-Bresse;46.333333;5.133333
Neuville-sur-Ain;46.083333;5.366667
Péronnas;46.183333;5.2
Pirajoux;46.383333;5.3
Polliat;46.25;5.133333
Pont-d'Ain;46.05;5.333333
Pouillat;46.333333;5.433333
Pressiat;46.333333;5.383333
Priay;46;5.283333
Ramasse;46.2;5.35
Revonnas;46.166667;5.333333
Saint-André-sur-Vieux-Jonc;46.15;5.066667
Saint-Denis-lès-Bourg;46.2;5.2
Saint-Didier-d'Aussiat;46.3;5.066667
Saint-Etienne-du-Bois;46.283333;5.283333
Saint-Jean-sur-Reyssouze;46.4;5.066667
Saint-Julien-sur-Reyssouze;46.4;5.116667
Saint-Just;;
Saint-Martin-du-Mont;46.1;5.333333
Saint-Martin-le-Châtel;46.283333;5.116667
Saint-Nizier-le-Bouchoux;46.45;5.15
Saint-Rémy;46.183333;5.166667
Saint-Sulpice;;
Saint-Trivier-de-Courtes;46.466667;5.083333
Salavre;46.366667;5.35
Servas;46.133333;5.166667
Servignat;46.433333;5.066667
Simandre-sur-Suran;46.216667;5.416667
Tossiat;46.133333;5.316667
Treffort-Cuisiat;;
Vandeins;46.216667;5.083333
Varambon;46.033333;5.316667
Verjon;46.35;5.35
Vernoux;46.483333;5.116667
Vescours;46.466667;5.033333
Villemotier;46.35;5.316667
Villereversure;46.183333;5.383333
Viriat;46.25;5.216667
Ambérieu-en-Bugey;45.95;5.35
Ambronay;46;5.35
Ambutrix;45.933333;5.333333
Apremont;46.208333;5.658333
Arbent;46.3;5.683333
Balan;45.833333;5.1
Béligneux;45.866667;5.116667
